## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=sample1.s_1.gc_bias_metrics.pdf SUMMARY_OUTPUT=sample1.s_1.summary_metrics.txt INPUT=sample1.s_1.sorted.bam OUTPUT=sample1.s_1.gc_bias_metrics.txt REFERENCE_SEQUENCE=/rds/project/rds-O11U8YqSuCk/SM/annotations/Homo_sapiens/Ensembl/GRCh37/Sequence/WholeGenomeFasta/genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Feb 25 16:13:44 GMT 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	132617	0	0	0	0			
All Reads	ALL	1	94890	0	0	0	0			
All Reads	ALL	2	109162	0	0	0	0			
All Reads	ALL	3	138935	0	0	0	0			
All Reads	ALL	4	149105	0	0	0	0			
All Reads	ALL	5	152159	0	0	0	0			
All Reads	ALL	6	173090	0	0	0	0			
All Reads	ALL	7	186762	0	0	0	0			
All Reads	ALL	8	213164	0	0	0	0			
All Reads	ALL	9	241390	0	0	0	0			
All Reads	ALL	10	285622	0	0	0	0			
All Reads	ALL	11	350736	0	0	0	0			
All Reads	ALL	12	459629	0	0	0	0			
All Reads	ALL	13	608567	0	0	0	0			
All Reads	ALL	14	864796	0	0	0	0			
All Reads	ALL	15	1274785	0	0	0	0			
All Reads	ALL	16	1909046	0	0	0	0			
All Reads	ALL	17	2868490	0	0	0	0			
All Reads	ALL	18	4303763	0	0	0	0			
All Reads	ALL	19	6353569	1	-21	0.663611	0.663611			
All Reads	ALL	20	9179194	0	0	0	0			
All Reads	ALL	21	12913078	0	0	0	0			
All Reads	ALL	22	17634823	1	14	0.239089	0.239089			
All Reads	ALL	23	23411495	0	0	0	0			
All Reads	ALL	24	30221753	1	11	0.139512	0.139512			
All Reads	ALL	25	37904213	2	11	0.222471	0.157311			
All Reads	ALL	26	46166686	1	8	0.091328	0.091328			
All Reads	ALL	27	54796353	0	0	0	0			
All Reads	ALL	28	63501096	2	-18	0.132794	0.0939			
All Reads	ALL	29	71973462	1	-2	0.058581	0.058581			
All Reads	ALL	30	80017900	6	11	0.316151	0.129068			
All Reads	ALL	31	87437257	6	-15	0.289325	0.118116			
All Reads	ALL	32	93940244	0	0	0	0			
All Reads	ALL	33	99388482	5	5	0.212112	0.094859			
All Reads	ALL	34	103623521	7	9	0.28482	0.107652			
All Reads	ALL	35	106826762	9	-7	0.355217	0.118406			
All Reads	ALL	36	108862866	8	10	0.309843	0.109546			
All Reads	ALL	37	109522682	11	10	0.423467	0.12768			
All Reads	ALL	38	108510493	15	9	0.582842	0.150489			
All Reads	ALL	39	106131004	10	3	0.397273	0.125629			
All Reads	ALL	40	102776680	15	11	0.615358	0.158885			
All Reads	ALL	41	98740005	19	-3	0.811319	0.186129			
All Reads	ALL	42	94248151	12	8	0.536833	0.15497			
All Reads	ALL	43	89762758	24	8	1.127317	0.230113			
All Reads	ALL	44	85709946	25	9	1.229815	0.245963			
All Reads	ALL	45	82258540	17	9	0.871363	0.211337			
All Reads	ALL	46	79354657	14	10	0.743852	0.198803			
All Reads	ALL	47	76895992	33	3	1.809428	0.314981			
All Reads	ALL	48	74317634	24	10	1.361603	0.277936			
All Reads	ALL	49	71107031	19	9	1.126606	0.258461			
All Reads	ALL	50	67012161	23	2	1.447123	0.301746			
All Reads	ALL	51	62221543	20	5	1.355253	0.303044			
All Reads	ALL	52	57246491	22	-8	1.620335	0.345457			
All Reads	ALL	53	52587592	23	9	1.844063	0.384514			
All Reads	ALL	54	48433911	30	9	2.611577	0.476807			
All Reads	ALL	55	44773587	24	9	2.260063	0.461333			
All Reads	ALL	56	41250465	17	10	1.737605	0.421431			
All Reads	ALL	57	37506103	34	10	3.822153	0.655494			
All Reads	ALL	58	33378994	22	9	2.778949	0.592474			
All Reads	ALL	59	28901332	19	7	2.771832	0.635902			
All Reads	ALL	60	24406894	23	2	3.973255	0.828481			
All Reads	ALL	61	20260496	24	4	4.994503	1.019499			
All Reads	ALL	62	16721383	14	0	3.530099	0.943459			
All Reads	ALL	63	13801920	14	10	4.276807	1.143025			
All Reads	ALL	64	11394997	14	-7	5.180181	1.384462			
All Reads	ALL	65	9391555	17	10	7.632073	1.85105			
All Reads	ALL	66	7732362	9	5	4.907513	1.635838			
All Reads	ALL	67	6279229	10	9	6.714672	2.123366			
All Reads	ALL	68	5020138	4	9	3.359506	1.679753			
All Reads	ALL	69	4016215	7	9	7.348728	2.777558			
All Reads	ALL	70	3221098	4	8	5.23585	2.617925			
All Reads	ALL	71	2580218	6	1	9.804511	4.002675			
All Reads	ALL	72	2088005	1	6	2.019294	2.019294			
All Reads	ALL	73	1704477	4	10	9.894639	4.947319			
All Reads	ALL	74	1405875	1	6	2.999055	2.999055			
All Reads	ALL	75	1185140	2	9	7.115271	5.031256			
All Reads	ALL	76	1023619	1	8	4.119009	4.119009			
All Reads	ALL	77	899940	0	0	0	0			
All Reads	ALL	78	800553	0	0	0	0			
All Reads	ALL	79	698967	0	0	0	0			
All Reads	ALL	80	596517	1	0	7.068191	7.068191			
All Reads	ALL	81	501530	0	0	0	0			
All Reads	ALL	82	420889	0	0	0	0			
All Reads	ALL	83	346018	0	0	0	0			
All Reads	ALL	84	268266	0	0	0	0			
All Reads	ALL	85	194343	0	0	0	0			
All Reads	ALL	86	129239	0	0	0	0			
All Reads	ALL	87	83780	0	0	0	0			
All Reads	ALL	88	57779	0	0	0	0			
All Reads	ALL	89	37497	0	0	0	0			
All Reads	ALL	90	24583	0	0	0	0			
All Reads	ALL	91	15587	0	0	0	0			
All Reads	ALL	92	9206	0	0	0	0			
All Reads	ALL	93	5777	0	0	0	0			
All Reads	ALL	94	3352	0	0	0	0			
All Reads	ALL	95	1653	0	0	0	0			
All Reads	ALL	96	986	0	0	0	0			
All Reads	ALL	97	658	0	0	0	0			
All Reads	ALL	98	328	0	0	0	0			
All Reads	ALL	99	133	0	0	0	0			
All Reads	ALL	100	339	0	0	0	0			


