## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=sample1.s_1.insert_size_histogram.pdf MINIMUM_PCT=0.5 INPUT=sample1.s_1.sorted.bam OUTPUT=sample1.s_1.insert_size_metrics.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Feb 28 15:07:57 GMT 2022

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
135.5	110	33.5	55	241670	136.967105	58.992694	192	FR	15	25	37	49	67	97	145	909	3023	9339	45259			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
55	1
57	1
60	1
62	1
63	1
68	1
72	1
75	1
78	1
79	1
80	1
81	1
82	1
84	1
85	1
86	2
87	2
89	1
90	2
93	2
96	1
98	2
99	2
101	2
102	2
103	2
104	1
105	2
106	2
107	2
108	2
110	5
111	4
112	1
113	1
114	2
115	3
116	2
117	1
118	3
120	1
121	5
122	2
123	3
124	1
125	2
126	1
127	2
128	3
131	2
132	1
133	3
134	3
135	1
136	1
138	1
139	1
140	2
141	1
142	1
143	1
144	1
145	2
146	2
147	4
148	2
150	2
151	1
152	1
153	2
156	2
158	1
159	2
162	1
168	1
170	2
178	1
180	1
182	1
185	1
187	1
189	1
195	1
201	1
203	1
211	1
222	1
223	1
228	1
257	1
260	1
283	1
285	1
306	1
320	1
350	1
413	1
424	1

