#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	1000	935	93.50	0	0.00	0	0.00	36	3.60	29	2.90
Mouse	1000	39	3.90	567	56.70	89	8.90	177	17.70	128	12.80
Rat	1000	723	72.30	0	0.00	0	0.00	179	17.90	98	9.80
Drosophila	1000	996	99.60	0	0.00	0	0.00	0	0.00	4	0.40
Worm	1000	996	99.60	0	0.00	0	0.00	0	0.00	4	0.40
Yeast	1000	998	99.80	0	0.00	0	0.00	0	0.00	2	0.20
Arabidopsis	1000	997	99.70	0	0.00	0	0.00	0	0.00	3	0.30
Ecoli	1000	1000	100.00	0	0.00	0	0.00	0	0.00	0	0.00
rRNA	1000	996	99.60	0	0.00	0	0.00	1	0.10	3	0.30
MT	1000	983	98.30	0	0.00	0	0.00	17	1.70	0	0.00
PhiX	1000	1000	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Lambda	1000	1000	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	1000	999	99.90	0	0.00	0	0.00	1	0.10	0	0.00
Adapters	1000	999	99.90	0	0.00	0	0.00	0	0.00	1	0.10

%Hit_no_genomes: 3.80
